mode,metric,point,ci_low,ci_high
ml,accuracy,0.6,0.535,0.665
ml,macro_precision,0.6482843780050703,0.5872461585206756,0.709056404483881
ml,macro_recall,0.6054358620094125,0.5414009579708825,0.6650663231829286
ml,macro_f1,0.6006850690151067,0.5337862860966103,0.6656395479863829
symbolic,accuracy,0.55,0.479875,0.62
symbolic,macro_precision,0.832089552238806,0.8120560710286354,0.8524350901741293
symbolic,macro_recall,0.5698300303671401,0.5083445935192259,0.6216527056289506
symbolic,macro_f1,0.5712673844961111,0.5020373101732627,0.6399729335939998
hybrid,accuracy,0.765,0.71,0.825
hybrid,macro_precision,0.8736559139784946,0.8483995060790273,0.8973684210526316
hybrid,macro_recall,0.7653508771929824,0.7185537961883461,0.8160675883256528
hybrid,macro_f1,0.7619095734648236,0.6988713351963214,0.8190478166046145
adaptive,accuracy,0.765,0.7048749999999999,0.825
adaptive,macro_precision,0.8736559139784946,0.8494777985451607,0.8989375134321943
adaptive,macro_recall,0.7653508771929824,0.7189245144505693,0.8166789215686274
adaptive,macro_f1,0.7619095734648236,0.6969182795288862,0.8186323868289039
